"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002673","아리울초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","6","0","8","7","34","5","41","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","10","45","5","55","0","0","0","5"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002690","새만금초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","2","4","1","0","5","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","6","7","1","13","0","0","0","1"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002714","전주온빛초등학교","02","공립","N","","0","1","0","1","0","2","0","2","0","0","0","0","4","7","0","11","7","58","4","65","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","2","0","0","0","0","12","72","4","84","0","0","0","4"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002725","전주홍산초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","2","0","4","4","10","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","6","17","3","23","0","0","0","3"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002732","전주양현초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","8","0","10","3","16","0","19","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","7","27","0","34","0","0","0","0"
"전라북도교육청","전라북도익산교육지원청","전라북도 익산시","S130002735","익산가온초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","10","0","12","3","30","2","33","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","5","46","2","51","0","0","0","2"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002737","전주새연초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","9","2","10","1","28","4","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","2","41","6","43","0","0","0","6"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002738","전주하가초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","7","0","8","2","20","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","3","31","0","34","0","0","0","0"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002748","전주화정초등학교","02","공립","N","","0","1","0","1","0","2","0","2","1","0","0","1","4","7","0","11","16","45","1","61","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","21","59","1","80","0","0","0","1"
"전라남도교육청","교육부","전라남도 목포시","S000003504","광주교육대학교목포부설초등학교","02","국립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","5","0","11","7","3","0","10","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","15","11","0","26","0","0","0","0"
