"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010005287","염경중학교","03","공립","N","","적정설치","적정설치","적정설치","단순설치","미설치","적정설치","적정설치","적정설치","적정설치","단순설치","미설치"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010005289","효문중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 마포구","S010005366","상암중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010005497","수명중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010005510","진관중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010005515","목운중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 강북구","S010005516","미양중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010005519","인왕중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010005520","문현중학교","03","공립","N","","적정설치","단순설치","적정설치","적정설치","단순설치","적정설치","적정설치","미설치","적정설치","미설치","단순설치"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010005526","강명중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010005540","강동중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010005561","신도중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 마포구","S010005569","창천중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
