"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","유초등부-유 학급수","유초등부-유 학생수","유초등부-유 학급당 학생수","유초등부-유-순회 학급수","유초등부-유-순회 학생수","유초등부-유-순회 학급당 학생수","유초등부-1학년 학급수","유초등부-1학년 학생수","유초등부-1학년 학급당 학생수","유초등부-2학년 학급수","유초등부-2학년 학생수","유초등부-2학년 학급당 학생수","유초등부-3학년 학급수","유초등부-3학년 학생수","유초등부-3학년 학급당 학생수","유초등부-4학년 학급수","유초등부-4학년 학생수","유초등부-4학년 학급당 학생수","유초등부-5학년 학급수","유초등부-5학년 학생수","유초등부-5학년 학급당 학생수","유초등부-6학년 학급수","유초등부-6학년 학생수","유초등부-6학년 학급당 학생수","유초등부-초-순회 학급수","유초등부-초-순회 학생수","유초등부-초-순회 학급당 학생수","유초등부 학급수(계)","유초등부 학생수(계)","유초등부 학급당 학생수(계)","중등부-1학년 학급수","중등부-1학년 학생수","중등부-1학년 학급당 학생수","중등부-2학년 학급수","중등부-2학년 학생수","중등부-2학년 학급당 학생수","중등부-3학년 학급수","중등부-3학년 학생수","중등부-3학년 학급당 학생수","중등부-순회 학급수","중등부-순회 학생수","중등부-순회 학급당 학생수","중등부 학급수(계)","중등부 학생수(계)","중등부 학급당 학생수(계)","고등부-1학년 학급수","고등부-1학년 학생수","고등부-1학년 학급당 학생수","고등부-2학년 학급수","고등부-2학년 학생수","고등부-2학년 학급당 학생수","고등부-3학년 학급수","고등부-3학년 학생수","고등부-3학년 학급당 학생수","고등부-순회 학급수","고등부-순회 학생수","고등부-순회 학급당 학생수","고등부 학급수(계)","고등부 학생수(계)","고등부 학급당 학생수(계)","전공과 학급수","전공과 학생수","전공과 학급당 학생수","총계 학급수","총계 학생수","총계 학급당 학생수","교사수","수업교원 1인당 학생수"
"전라남도교육청","전라남도교육청","전라남도 순천시","S140002325","순천선혜학교","05","공립","N","","0","0","0","0","0","0","1","7","7","3","14","4.7","2","9","4.5","2","10","5","2","8","4","2","8","4","2","4","2","14","60","4.3","2","12","6","3","16","5.3","3","18","6","2","4","2","10","50","5","4","23","5.8","4","25","6.3","3","17","5.7","0","0","0","11","65","5.9","6","58","9.7","41","233","5.7","67","2.6"
"전라남도교육청","전라남도교육청","전라남도 여수시","S140002326","여수여명학교","05","공립","N","","1","3","3","1","2","2","2","10","5","2","8","4","2","8","4","3","13","4.3","1","4","4","2","8","4","1","3","3","15","59","3.9","3","15","5","2","11","5.5","2","12","6","1","2","2","8","40","5","2","12","6","2","9","4.5","3","16","5.3","2","5","2.5","9","42","4.7","6","54","9","38","195","5.1","62","2.2"
"전라남도교육청","전라남도교육청","전라남도 영암군","S140002328","은광학교","05","사립","N","","1","1","1","0","0","0","0","0","0","1","5","5","0","0","0","1","6","6","0","0","0","1","10","10","0","0","0","4","22","5.5","2","10","5","1","5","5","2","9","4.5","0","0","0","5","24","4.8","1","6","6","2","10","5","1","7","7","0","0","0","4","23","5.8","2","19","9.5","15","88","5.9","29","2.3"
"전라남도교육청","전라남도교육청","전라남도 함평군","S140002329","함평영화학교","05","사립","N","","1","5","5","0","0","0","1","4","4","1","4","4","1","5","5","1","5","5","1","6","6","1","7","7","0","0","0","7","36","5.1","1","5","5","1","4","4","1","3","3","0","0","0","3","12","4","2","11","5.5","2","12","6","1","7","7","1","4","4","6","34","5.7","2","20","10","18","102","5.7","32","2.4"
"전라남도교육청","전라남도교육청","전라남도 나주시","S140005422","나주이화학교","05","공립","N","","1","2","2","0","0","0","2","11","5.5","2","9","4.5","0","0","0","1","1","1","1","4","4","1","5","5","1","2","2","9","34","3.8","2","7","3.5","1","5","5","2","9","4.5","1","4","4","6","25","4.2","2","9","4.5","2","11","5.5","2","7","3.5","1","1","1","7","28","4","3","30","10","25","117","4.7","40","2.1"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150003793","경북영광학교","05","사립","N","","0","0","0","0","0","0","1","4","4","1","4","4","1","1","1","1","2","2","1","6","6","3","14","4.7","0","0","0","8","31","3.9","2","9","4.5","3","14","4.7","3","14","4.7","0","0","0","8","37","4.6","3","18","6","2","13","6.5","4","25","6.3","0","0","0","9","56","6.2","4","40","10","29","164","5.7","51","2.4"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150003794","경희학교","05","공립","N","","0","0","0","0","0","0","1","3","3","1","3","3","1","2","2","1","6","6","1","2","2","1","6","6","0","0","0","6","22","3.7","1","2","2","2","8","4","1","6","6","0","0","0","4","16","4","2","12","6","2","9","4.5","2","11","5.5","0","0","0","6","32","5.3","4","41","10.3","20","111","5.6","34","2.1"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150003795","구미혜당학교","05","사립","N","","3","10","3.3","0","0","0","3","14","4.7","3","18","6","1","6","6","3","16","5.3","3","15","5","2","9","4.5","0","0","0","18","88","4.9","3","16","5.3","4","24","6","3","15","5","0","0","0","10","55","5.5","3","23","7.7","3","22","7.3","3","19","6.3","0","0","0","9","64","7.1","8","86","10.8","45","293","6.5","72","2.7"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150003796","상희학교","05","공립","N","","2","7","3.5","0","0","0","1","4","4","1","6","6","1","2","2","1","3","3","1","1","1","1","3","3","0","0","0","8","26","3.3","1","5","5","1","4","4","2","8","4","0","0","0","4","17","4.3","2","11","5.5","2","14","7","2","11","5.5","0","0","0","6","36","6","4","34","8.5","22","113","5.1","39","1.8"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150003797","안동영명학교","05","사립","N","","2","8","4","0","0","0","2","7","3.5","2","8","4","1","3","3","2","8","4","3","12","4","2","11","5.5","0","0","0","14","57","4.1","3","14","4.7","3","15","5","3","16","5.3","0","0","0","9","45","5","3","17","5.7","2","14","7","3","20","6.7","0","0","0","8","51","6.4","7","65","9.3","38","218","5.7","62","2.3"
